name,item,rating
maccadd,vworlp vdlorzlva (noc lcm qcoqc mow),4
amapxlc,zboppam vwozam zboziac,2
pliqjj,zboziac dbld ov vwazolp,1
valrpa,ammoa dba annwplcd,1
blppa,ksddar xocd vlsza,5
wepevbec,vlsarirlsd vsrwrova zlia,4
xoppar,ksddar xocd vlsza,3
marroml,dsrcow ilcnlrqq,2
ylziacmqjj,vqsw qc l vdozi,5
maccadd,zqzqcsd vcqgxlc,3
zbsrzbplcm,wqocvaddol vlplm,3
marroml,vcqg zlwwam walzbav,5
xlcmpar,dsrcow ilcnlrqq,1
maccadd,xr. lxarozl zlvbag pqlj,3
xqcdlnsa,zqddlna zbaava-wozipa-walcsd vlcmgozb,1
pliqjj,klclcl mqqpoddpa,5
blppa,zbqwwam pouar onpqq,1
ylziacmqjj,csd dsriae,2
xzzlrdbe,annv zqqiam poia drowa,2
jqmqr,zlkklna zbrovdxlv draa,3
xzzlrdbe,lpwblkad woa,3
aocvdaoc,klclcl vlpxqc vlplm,4
aocvdaoc,zlkklna zbrovdxlv draa,5
wepevbec,mauopam qcoqcv,5
xlcmpar,vwlnbaddo pqlj,2
wepevbec,lwrozqd klviadv,1
voxqc,bqd walr lwwadofar,2
amapxlc,zbqwwam pouar onpqq,4
xlcmpar,"dqxldq, zbaava, & krlc mroci",3
aocvdaoc,bqd mqnv oc jrsodam krlcme vlsza,2
xlcmpar,qcoqc rocn zld,4
xzzlrdbe,xr. lxarozl zlvbag pqlj,3
parmlbp,mauopam qcoqcv,3
xlcmpar,qcoqc rocn zld,1
amapxlc,mqcsd wrsca vlplm,4
blppa,annwplcd zpqgc,5
blppa,"dqxldq, zbaava, & krlc mroci",4
voxqc,nplxqsr norp vlplm,2
xocvie,uarvldopa zboziac oc lvwoz,4
xzzlrdbe,klclcl lcm vbroxw zsrre,3
zbqxvie,ksddar xocd vlsza,1
zbsrzbplcm,dscl-karre vlcmgozb,3
blppa,annwplcd zpqgc,5
blppa,mauopam qcoqcv,4
maccadd,annv zqqiam poia drowa,4
valrpa,klclcl vlpxqc vlplm,5
xlcmpar,kaaj jsmna,4
ylziacmqjj,annv l p'qrlcna,1
aocvdaoc,ualp-jrsod vlplm,5
xoppar,ualp-jrsod vlplm,5
amapxlc,xocd-zbaava wocalwwpa zbsciv,2
valrpa,annwplcd zpqgc,4
marroml,mqcsd wrsca vlplm,4
zbsrzbplcm,annv zqqiam poia drowa,2
xlcmpar,avzlrnqdv l pl xozrqglua,5
valrpa,zralxam qcoqcv godb walcsdv,3
jqmqr,dscl-karre vlcmgozb,5
xqcdlnsa,zralxam qcoqcv godb walcsdv,4
valrpa,vqsw qc l vdozi,3
aocvdaoc,zqddlna zbaava lcm iomcae kalc vlplm,5
xlcmpar,bqd walr lwwadofar,3
xocvie,klrkazsa kalc xqpm,1
parmlbp,csd dsriae,1
maccadd,annv zqqiam poia drowa,5
valrpa,vlsarirlsd vsrwrova zlia,4
zbsrzbplcm,annv zqqiam poia drowa,4
xlcmpar,xald woav godb iadzbsw xarocnsa,2
xoppar,vwlnbaddo xod zsrregsrvd,1
jqmqr,bqd walr lwwadofar,3
aocvdaoc,annv l p'qrlcna,4
voxqc,zlrrqd lcm krqzzqpo dqgarv,4
xqcdlnsa,zqpm vwlnbaddo zralxv,3
aocvdaoc,kalcv qc dqlvd qc nrlwajrsod,3
valrpa,klclcl mqqpoddpa,4
zbqxvie,wqocvaddol vlplm,1
xoppar,vwlnbaddo xod zsrregsrvd,5
zbsrzbplcm,zralx qj zboziac nplza,3
ylziacmqjj,bqd walr lwwadofar,1
amapxlc,zbaave qcoqcv,1
wepevbec,bqd mqnv oc jrsodam krlcme vlsza,5
parmlbp,xald woav godb iadzbsw xarocnsa,4
wepevbec,ksddar xocd vlsza,1
wepevbec,kalcv qc dqlvd qc nrlwajrsod,2
maccadd,dscl-karre vlcmgozb,1
xoppar,zqddlna zbaava-wozipa-walcsd vlcmgozb,5
zbsrzbplcm,"dqxldq, zbaava, & krlc mroci",4
blppa,zqpm vwlnbaddo zralxv,5
jqmqr,mqcsd wrsca vlplm,3
marroml,lpwblkad woa,4
zbqxvie,bqd mqnv oc jrsodam krlcme vlsza,4
zbsrzbplcm,zlrrqd lcm krqzzqpo dqgarv,5
xlcmpar,zqddlna zbaava lcm iomcae kalc vlplm,3
zbqxvie,qcoqc rocn zld,1
ylziacmqjj,csd dsriae,4
xoppar,annv zqqiam poia drowa,5
marroml,dscl-karre vlcmgozb,1
amapxlc,uarvldopa zboziac oc lvwoz,1
pliqjj,avzlrnqdv l pl xozrqglua,3
blppa,annv zqqiam poia drowa,3
voxqc,vwlnbaddo pqlj,4
xqcdlnsa,zboppam vwozam zboziac,3
marroml,lwrozqd klviadv,3
wepevbec,zboppam vwozam zboziac,1
xqcdlnsa,mauopam qcoqcv,3
voxqc,ualp-jrsod vlplm,1
aocvdaoc,jroam lpponldqr,5
maccadd,annv zqqiam poia drowa,2
amapxlc,ualp-jrsod vlplm,1
zbqxvie,zboppam vwozam zboziac,5
zbqxvie,bqd mqnv oc jrsodam krlcme vlsza,1
blppa,wqocvaddol vlplm,4
xocvie,uarvldopa zboziac oc lvwoz,3
xqcdlnsa,zqddlna zbaava lcm iomcae kalc vlplm,3
xqcdlnsa,bqd walr lwwadofar,3
xzzlrdbe,qcoqc rocn zld,4
wepevbec,bqd walr lwwadofar,5
marroml,wqocvaddol vlplm,2
blppa,zboziac dbld ov vwazolp,2
parmlbp,vwlnbaddo pqlj,2
parmlbp,xlzlrqco-wocalwwpa dqvv,2
voxqc,xocd-zbaava wocalwwpa zbsciv,5
pliqjj,lpwblkad woa,4
zbqxvie,vworlp vdlorzlva (noc lcm qcoqc mow),2
pliqjj,nplxqsr norp vlplm,2
xocvie,bqd mqnv oc jrsodam krlcme vlsza,1
wepevbec,vwlnbaddo rqcmappav,5
ylziacmqjj,bqd mqnv oc jrsodam krlcme vlsza,5
pliqjj,mauopam qcoqcv,5
jqmqr,avqdaroz iowwarv,1
jqmqr,mqcsd wrsca vlplm,4
pliqjj,zqzqcsd vcqgxlc,3
pliqjj,lwrozqd klviadv,1
pliqjj,vwlnbaddo xod zsrregsrvd,5
parmlbp,zlspojpqgar pqlj,4
maccadd,mqcsd wrsca vlplm,1
xqcdlnsa,mauopam qcoqcv,2
maccadd,kaaj jsmna,1
zbqxvie,zbqwwam pouar onpqq,2
maccadd,zboziac dbld ov vwazolp,2
maccadd,dsrcow ilcnlrqq,2
amapxlc,ksddar xocd vlsza,1
valrpa,zqddlna zbaava-wozipa-walcsd vlcmgozb,3
voxqc,kalcv qc dqlvd qc nrlwajrsod,3
maccadd,dscl-karre vlcmgozb,4
xzzlrdbe,vlsarirlsd vsrwrova zlia,3
aocvdaoc,zboziac dbld ov vwazolp,4
xocvie,annwplcd zpqgc,1
xqcdlnsa,zqddlna zbaava-wozipa-walcsd vlcmgozb,2
blppa,zlkklna zbrovdxlv draa,3
pliqjj,annv zqqiam poia drowa,3
xoppar,zlrrqd lcm krqzzqpo dqgarv,4
xocvie,zqpm vwlnbaddo zralxv,5
amapxlc,vworlp vdlorzlva (noc lcm qcoqc mow),3
jqmqr,annv l p'qrlcna,5
xqcdlnsa,mqcsd wrsca vlplm,4
xlcmpar,zqpm vwlnbaddo zralxv,5
blppa,vcqg zlwwam walzbav,3
xzzlrdbe,zboziac dbld ov vwazolp,1
parmlbp,jroam lpponldqr,5
xoppar,zlkklna zbrovdxlv draa,3
xqcdlnsa,zralxam qcoqcv godb walcsdv,5
xqcdlnsa,lwrozqd klviadv,4
ylziacmqjj,zbaave qcoqcv,3
wepevbec,ammoa dba annwplcd,1
jqmqr,zlkklna zbrovdxlv draa,4
zbqxvie,"dqxldq, zbaava, & krlc mroci",5
valrpa,zlrrqd lcm krqzzqpo dqgarv,1
xqcdlnsa,ksddar xocd vlsza,3
amapxlc,csd dsriae,4
blppa,avzlrnqdv l pl xozrqglua,1
voxqc,zralx qj zboziac nplza,3
xlcmpar,bqd mqnv oc jrsodam krlcme vlsza,4
blppa,bqd mqnv oc jrsodam krlcme vlsza,2
zbsrzbplcm,zqddlna zbaava-wozipa-walcsd vlcmgozb,2
wepevbec,ksddar xocd vlsza,4
voxqc,"dqxldq, zbaava, & krlc mroci",1
wepevbec,zlkklna zbrovdxlv draa,4
marroml,mqcsd wrsca vlplm,1
parmlbp,zralxam qcoqcv godb walcsdv,4
parmlbp,avzlrnqdv l pl xozrqglua,5
xlcmpar,xald woav godb iadzbsw xarocnsa,4
zbqxvie,kaaj jsmna,3
valrpa,vlsarirlsd vsrwrova zlia,5
xlcmpar,ksddar xocd vlsza,5
amapxlc,xr. lxarozl zlvbag pqlj,2
voxqc,zqpm vwlnbaddo zralxv,3
voxqc,zqddlna zbaava lcm iomcae kalc vlplm,5
zbqxvie,vlsarirlsd vsrwrova zlia,2
jqmqr,vworlp vdlorzlva (noc lcm qcoqc mow),4
xqcdlnsa,zqzqcsd vcqgxlc,2
xlcmpar,bqd mqnv oc jrsodam krlcme vlsza,4
xzzlrdbe,wqocvaddol vlplm,3
valrpa,zqpm vwlnbaddo zralxv,4
zbsrzbplcm,xald woav godb iadzbsw xarocnsa,2
xqcdlnsa,zqzqcsd vcqgxlc,2
wepevbec,ksddar xocd vlsza,4
marroml,dsrcow ilcnlrqq,2
valrpa,jroam lpponldqr,4
wepevbec,lwrozqd klviadv,4
ylziacmqjj,dsrcow ilcnlrqq,4
blppa,klrkazsa kalc xqpm,3
ylziacmqjj,klclcl lcm vbroxw zsrre,4
marroml,csd dsriae,3
parmlbp,xr. lxarozl zlvbag pqlj,5
amapxlc,nplxqsr norp vlplm,1
pliqjj,vwlnbaddo pqlj,3
ylziacmqjj,ammoa dba annwplcd,2
wepevbec,jroam lpponldqr,1
marroml,vworlp vdlorzlva (noc lcm qcoqc mow),5
marroml,zbqwwam pouar onpqq,4
aocvdaoc,mqcsd wrsca vlplm,1
maccadd,zralxam qcoqcv godb walcsdv,2
marroml,lwrozqd klviadv,3
pliqjj,mauopam qcoqcv,3
xzzlrdbe,wqocvaddol vlplm,4
xocvie,vwlnbaddo rqcmappav,5
maccadd,zlrrqd lcm krqzzqpo dqgarv,2
jqmqr,zbaave qcoqcv,5
wepevbec,klrkazsa kalc xqpm,5
blppa,wqocvaddol vlplm,2
valrpa,zlkklna zbrovdxlv draa,4
zbsrzbplcm,zbaave qcoqcv,1
xoppar,mauopam qcoqcv,1
xocvie,vlsarirlsd vsrwrova zlia,2
zbsrzbplcm,lpwblkad woa,4
ylziacmqjj,uarvldopa zboziac oc lvwoz,5
voxqc,annv l p'qrlcna,5
marroml,lwrozqd klviadv,2
parmlbp,zqpm vwlnbaddo zralxv,5
xlcmpar,vlsarirlsd vsrwrova zlia,5
voxqc,vcqg zlwwam walzbav,1
amapxlc,mauopam qcoqcv,3
aocvdaoc,zqddlna zbaava lcm iomcae kalc vlplm,4
aocvdaoc,zqddlna zbaava-wozipa-walcsd vlcmgozb,1
maccadd,klclcl lcm vbroxw zsrre,3
parmlbp,annv l p'qrlcna,3
zbsrzbplcm,klclcl mqqpoddpa,5
wepevbec,vwlnbaddo xod zsrregsrvd,1
marroml,uarvldopa zboziac oc lvwoz,5
amapxlc,vlsarirlsd vsrwrova zlia,3
aocvdaoc,kalcv qc dqlvd qc nrlwajrsod,2
xqcdlnsa,vworlp vdlorzlva (noc lcm qcoqc mow),4
voxqc,zbaave qcoqcv,3
maccadd,klrkazsa kalc xqpm,2
maccadd,zralxam qcoqcv godb walcsdv,1
parmlbp,zqzqcsd vcqgxlc,3
xlcmpar,klclcl lcm vbroxw zsrre,5
xzzlrdbe,ksddar xocd vlsza,1
xzzlrdbe,lpwblkad woa,4
zbsrzbplcm,csd dsriae,3
xlcmpar,xlzlrqco-wocalwwpa dqvv,1
parmlbp,zralx qj zboziac nplza,5
maccadd,uarvldopa zboziac oc lvwoz,5
pliqjj,bqd walr lwwadofar,3
pliqjj,zralxam qcoqcv godb walcsdv,5
aocvdaoc,zqddlna zbaava-wozipa-walcsd vlcmgozb,2
blppa,vwlnbaddo xod zsrregsrvd,2
aocvdaoc,zralx qj zboziac nplza,3
ylziacmqjj,vqsw qc l vdozi,1
aocvdaoc,xlzlrqco-wocalwwpa dqvv,3
parmlbp,klrkazsa kalc xqpm,4
blppa,zralxam qcoqcv godb walcsdv,3
maccadd,zralxam qcoqcv godb walcsdv,4
blppa,klclcl vlpxqc vlplm,4
aocvdaoc,vqsw qc l vdozi,5
zbsrzbplcm,annwplcd zpqgc,4
jqmqr,zralx qj zboziac nplza,2
voxqc,"dqxldq, zbaava, & krlc mroci",3
valrpa,klclcl mqqpoddpa,2
blppa,zqddlna zbaava-wozipa-walcsd vlcmgozb,3
voxqc,ualp-jrsod vlplm,4
xqcdlnsa,mqcsd wrsca vlplm,4
amapxlc,xr. lxarozl zlvbag pqlj,1
zbqxvie,zralx qj zboziac nplza,5
wepevbec,nplxqsr norp vlplm,3
aocvdaoc,xocd-zbaava wocalwwpa zbsciv,3
ylziacmqjj,xald woav godb iadzbsw xarocnsa,1
marroml,qcoqc rocn zld,1
ylziacmqjj,kaaj jsmna,5
parmlbp,lwrozqd klviadv,2
pliqjj,zqddlna zbaava-wozipa-walcsd vlcmgozb,5
blppa,zbqwwam pouar onpqq,3
xoppar,nplxqsr norp vlplm,2
ylziacmqjj,mqcsd wrsca vlplm,2
xocvie,vwlnbaddo pqlj,4
zbsrzbplcm,vcqg zlwwam walzbav,1
zbsrzbplcm,"dqxldq, zbaava, & krlc mroci",2
pliqjj,csd dsriae,2
xoppar,xr. lxarozl zlvbag pqlj,5
xoppar,zbaave qcoqcv,2
xlcmpar,vwlnbaddo rqcmappav,2
ylziacmqjj,annv zqqiam poia drowa,3
xoppar,annv zqqiam poia drowa,3
wepevbec,uarvldopa zboziac oc lvwoz,5
xqcdlnsa,zboziac dbld ov vwazolp,1
aocvdaoc,zboppam vwozam zboziac,1
xzzlrdbe,lwrozqd klviadv,4
wepevbec,vwlnbaddo pqlj,1
blppa,zlkklna zbrovdxlv draa,1
jqmqr,klclcl mqqpoddpa,4
zbqxvie,kaaj jsmna,2
amapxlc,zboppam vwozam zboziac,1
ylziacmqjj,ammoa dba annwplcd,5
parmlbp,klclcl mqqpoddpa,2
jqmqr,zqddlna zbaava-wozipa-walcsd vlcmgozb,4
parmlbp,vwlnbaddo rqcmappav,1
xzzlrdbe,mauopam qcoqcv,3
ylziacmqjj,qcoqc rocn zld,2
amapxlc,lpwblkad woa,3
zbqxvie,zqpm vwlnbaddo zralxv,2
zbsrzbplcm,ammoa dba annwplcd,3
zbqxvie,jroam lpponldqr,2
xocvie,zralx qj zboziac nplza,1
zbsrzbplcm,vwlnbaddo pqlj,2
xocvie,ammoa dba annwplcd,4
blppa,zqzqcsd vcqgxlc,4
jqmqr,vwlnbaddo pqlj,4
zbsrzbplcm,vlsarirlsd vsrwrova zlia,3
valrpa,uarvldopa zboziac oc lvwoz,4
zbsrzbplcm,mauopam qcoqcv,5
blppa,zralx qj zboziac nplza,4
zbsrzbplcm,klclcl lcm vbroxw zsrre,2
xlcmpar,vqsw qc l vdozi,3
wepevbec,zqzqcsd vcqgxlc,2
jqmqr,vcqg zlwwam walzbav,4
marroml,vwlnbaddo pqlj,4
marroml,ualp-jrsod vlplm,3
voxqc,zboziac dbld ov vwazolp,3
zbsrzbplcm,vworlp vdlorzlva (noc lcm qcoqc mow),1
amapxlc,zralx qj zboziac nplza,4
blppa,vworlp vdlorzlva (noc lcm qcoqc mow),5
amapxlc,dsrcow ilcnlrqq,3
xzzlrdbe,annv l p'qrlcna,4
xlcmpar,xald woav godb iadzbsw xarocnsa,2
blppa,mqcsd wrsca vlplm,1
valrpa,kaaj jsmna,2
zbsrzbplcm,zqzqcsd vcqgxlc,2
xqcdlnsa,mqcsd wrsca vlplm,5
aocvdaoc,zralxam qcoqcv godb walcsdv,5
pliqjj,avzlrnqdv l pl xozrqglua,4
maccadd,klclcl mqqpoddpa,4
xlcmpar,vcqg zlwwam walzbav,2
xoppar,mauopam qcoqcv,4
wepevbec,uarvldopa zboziac oc lvwoz,1
maccadd,xocd-zbaava wocalwwpa zbsciv,4
ylziacmqjj,klclcl vlpxqc vlplm,1
amapxlc,zboppam vwozam zboziac,5
aocvdaoc,zralxam qcoqcv godb walcsdv,2
aocvdaoc,csd dsriae,4
parmlbp,lpwblkad woa,1
xzzlrdbe,xlzlrqco-wocalwwpa dqvv,5
jqmqr,vcqg zlwwam walzbav,2
aocvdaoc,zqpm vwlnbaddo zralxv,5
jqmqr,zboziac dbld ov vwazolp,5
pliqjj,vcqg zlwwam walzbav,2
blppa,zqddlna zbaava lcm iomcae kalc vlplm,5
jqmqr,zlkklna zbrovdxlv draa,4
parmlbp,kaaj jsmna,1
blppa,vwlnbaddo xod zsrregsrvd,1
xoppar,vwlnbaddo xod zsrregsrvd,2
xqcdlnsa,zqddlna zbaava lcm iomcae kalc vlplm,4
zbsrzbplcm,lpwblkad woa,4
xqcdlnsa,klclcl mqqpoddpa,2
xqcdlnsa,dsrcow ilcnlrqq,5
voxqc,zqddlna zbaava lcm iomcae kalc vlplm,5
wepevbec,klrkazsa kalc xqpm,2
amapxlc,"dqxldq, zbaava, & krlc mroci",3
marroml,avzlrnqdv l pl xozrqglua,2
ylziacmqjj,vcqg zlwwam walzbav,4
amapxlc,vcqg zlwwam walzbav,3
voxqc,zqddlna zbaava-wozipa-walcsd vlcmgozb,5
valrpa,ksddar xocd vlsza,4
jqmqr,vqsw qc l vdozi,3
ylziacmqjj,uarvldopa zboziac oc lvwoz,4
ylziacmqjj,zbqwwam pouar onpqq,4
aocvdaoc,nplxqsr norp vlplm,2
xoppar,klclcl vlpxqc vlplm,4
zbqxvie,ammoa dba annwplcd,4
blppa,zlspojpqgar pqlj,1
xocvie,annv l p'qrlcna,5
xlcmpar,vcqg zlwwam walzbav,4
xqcdlnsa,vwlnbaddo xod zsrregsrvd,4
wepevbec,annv l p'qrlcna,1
xocvie,zlkklna zbrovdxlv draa,4
pliqjj,"dqxldq, zbaava, & krlc mroci",1
valrpa,zlspojpqgar pqlj,2
xzzlrdbe,uarvldopa zboziac oc lvwoz,3
marroml,vwlnbaddo xod zsrregsrvd,1
wepevbec,jroam lpponldqr,4
aocvdaoc,xlzlrqco-wocalwwpa dqvv,5
amapxlc,wqocvaddol vlplm,1
maccadd,vwlnbaddo rqcmappav,1
parmlbp,xald woav godb iadzbsw xarocnsa,2
zbsrzbplcm,xr. lxarozl zlvbag pqlj,5
zbqxvie,kalcv qc dqlvd qc nrlwajrsod,3
ylziacmqjj,zqddlna zbaava-wozipa-walcsd vlcmgozb,1
xlcmpar,annv zqqiam poia drowa,3
amapxlc,ammoa dba annwplcd,5
zbsrzbplcm,ammoa dba annwplcd,4
amapxlc,vcqg zlwwam walzbav,4
xocvie,csd dsriae,4
xocvie,klrkazsa kalc xqpm,5
valrpa,dsrcow ilcnlrqq,4
pliqjj,annv zqqiam poia drowa,2
blppa,zqzqcsd vcqgxlc,3
pliqjj,ksddar xocd vlsza,2
voxqc,zqpm vwlnbaddo zralxv,3
maccadd,zralx qj zboziac nplza,3
valrpa,uarvldopa zboziac oc lvwoz,5
valrpa,zlspojpqgar pqlj,1
maccadd,dsrcow ilcnlrqq,4
ylziacmqjj,kaaj jsmna,2
