name,item,rating
derrida,turnip kangaroo,2
pylyshyn,butter mint sauce,4
montague,coconut snowman,2
churchland,meat pies with ketchup meringue,2
searle,cold spaghetti creams,4
mccarthy,poinsettia salad,3
mandler,hot dogs in fruited brandy sauce,4
montague,coconut snowman,2
fodor,spiral staircase (gin and onion dip),4
chomsky,sauerkraut surprise cake,2
simon,cottage cheese and kidney bean salad,5
simon,cold spaghetti creams,3
edelman,mr. america cashew loaf,2
mandler,butter mint sauce,5
searle,sauerkraut surprise cake,5
chomsky,beef fudge,3
mandler,meat pies with ketchup meringue,4
lerdahl,escargots a la microwave,5
lerdahl,creamed onions with peanuts,4
derrida,donut prune salad,1
pylyshyn,cabbage christmas tree,4
simon,"tomato, cheese, & bran drink",1
pylyshyn,butter mint sauce,4
churchland,cottage cheese-pickle-peanut sandwich,2
halle,hot dogs in fruited brandy sauce,2
mandler,hot dogs in fruited brandy sauce,4
simon,cream of chicken glace,3
halle,escargots a la microwave,1
edelman,nut turkey,4
montague,butter mint sauce,3
searle,carrot and broccoli towers,1
chomsky,"tomato, cheese, & bran drink",5
fodor,cabbage christmas tree,4
pylyshyn,eddie the eggplant,1
jackendoff,cheesy onions,3
montague,apricot baskets,4
montague,creamed onions with peanuts,5
miller,cabbage christmas tree,3
lerdahl,fried alligator,5
mccarthy,chicken that is special,1
halle,snow capped peaches,3
mandler,cold spaghetti creams,5
montague,donut prune salad,4
fodor,eggs a l'orange,5
edelman,spiral staircase (gin and onion dip),3
minsky,cold spaghetti creams,5
miller,carrot and broccoli towers,4
lakoff,eggs cooked like tripe,3
halle,cabbage christmas tree,3
montague,cottage cheese-pickle-peanut sandwich,2
minsky,eggplant clown,1
einstein,chicken that is special,4
mccarthy,sauerkraut surprise cake,3
dennett,tuna-berry sandwich,4
simon,beans on toast on grapefruit,3
searle,cottage cheese-pickle-peanut sandwich,3
edelman,butter mint sauce,1
dennett,turnip kangaroo,2
dennett,chicken that is special,2
chomsky,chopped liver igloo,2
dennett,beef fudge,1
montague,deviled onions,2
dennett,donut prune salad,1
lerdahl,cauliflower loaf,4
lakoff,spaghetti mit currywurst,5
lakoff,apricot baskets,1
lakoff,coconut snowman,3
fodor,donut prune salad,4
fodor,esoteric kippers,1
lakoff,deviled onions,5
jackendoff,hot dogs in fruited brandy sauce,5
pylyshyn,spaghetti rondelles,5
minsky,hot dogs in fruited brandy sauce,1
lakoff,glamour girl salad,2
chomsky,spiral staircase (gin and onion dip),2
lakoff,alphabet pie,4
simon,mint-cheese pineapple chunks,5
lerdahl,macaroni-pineapple toss,2
lerdahl,spaghetti loaf,2
halle,chicken that is special,2
derrida,poinsettia salad,2
pylyshyn,hot pear appetizer,5
mccarthy,onion ring cat,4
montague,hot pear appetizer,3
montague,cottage cheese and kidney bean salad,3
minsky,versatile chicken in aspic,3
halle,poinsettia salad,4
chomsky,hot dogs in fruited brandy sauce,1
chomsky,chilled spiced chicken,5
edelman,veal-fruit salad,1
dennett,eggs cooked like tripe,2
einstein,fried alligator,5
simon,veal-fruit salad,1
montague,deviled onions,3
pylyshyn,chilled spiced chicken,1
derrida,apricot baskets,3
montague,chilled spiced chicken,3
simon,spaghetti loaf,4
halle,eggs cooked like tripe,3
lakoff,escargots a la microwave,3
edelman,versatile chicken in aspic,1
derrida,tuna-berry sandwich,1
miller,eggs cooked like tripe,5
jackendoff,nut turkey,4
chomsky,onion ring cat,1
mandler,cottage cheese and kidney bean salad,3
churchland,carrot and broccoli towers,5
chomsky,hot dogs in fruited brandy sauce,4
derrida,alphabet pie,4
fodor,donut prune salad,3
halle,cold spaghetti creams,5
churchland,"tomato, cheese, & bran drink",4
miller,cottage cheese-pickle-peanut sandwich,5
dennett,tuna-berry sandwich,1
pylyshyn,beans on toast on grapefruit,2
pylyshyn,butter mint sauce,1
lerdahl,meat pies with ketchup meringue,4
pylyshyn,hot dogs in fruited brandy sauce,5
edelman,cheesy onions,1
jackendoff,hot pear appetizer,1
churchland,cream of chicken glace,3
miller,spaghetti mit currywurst,5
chomsky,poinsettia salad,1
searle,banana doolittle,4
einstein,beans on toast on grapefruit,3
montague,cold spaghetti creams,3
simon,carrot and broccoli towers,4
einstein,eggs a l'orange,4
fodor,hot pear appetizer,3
miller,spaghetti mit currywurst,1
mandler,meat pies with ketchup meringue,2
churchland,eggs cooked like tripe,4
searle,sauerkraut surprise cake,4
dennett,eggs cooked like tripe,5
lerdahl,nut turkey,1
minsky,barbecue bean mold,1
mandler,hot pear appetizer,3
einstein,cottage cheese and kidney bean salad,5
searle,soup on a stick,3
montague,creamed onions with peanuts,4
fodor,tuna-berry sandwich,5
searle,creamed onions with peanuts,3
mandler,escargots a la microwave,5
churchland,eggs cooked like tripe,2
derrida,donut prune salad,4
searle,eggplant clown,4
edelman,mint-cheese pineapple chunks,2
miller,veal-fruit salad,5
einstein,veal-fruit salad,5
jackendoff,eggs a l'orange,1
mandler,beef fudge,4
searle,banana salmon salad,5
dennett,eggs cooked like tripe,4
halle,deviled onions,4
halle,eggplant clown,5
churchland,tuna-berry sandwich,3
chomsky,butter mint sauce,1
mccarthy,banana and shrimp curry,3
minsky,versatile chicken in aspic,4
simon,glamour girl salad,2
halle,"tomato, cheese, & bran drink",4
halle,eggplant clown,5
edelman,donut prune salad,4
mandler,onion ring cat,1
lerdahl,deviled onions,3
mccarthy,mr. america cashew loaf,3
mandler,onion ring cat,4
einstein,hot dogs in fruited brandy sauce,2
mandler,"tomato, cheese, & bran drink",3
edelman,chopped liver igloo,4
simon,hot pear appetizer,2
pylyshyn,apricot baskets,1
mandler,spaghetti loaf,2
pylyshyn,deviled onions,5
einstein,cabbage christmas tree,5
einstein,banana salmon salad,4
mccarthy,alphabet pie,3
fodor,cabbage christmas tree,3
mccarthy,eggs cooked like tripe,2
jackendoff,nut turkey,2
halle,chopped liver igloo,1
lakoff,banana doolittle,5
montague,cottage cheese-pickle-peanut sandwich,1
dennett,mr. america cashew loaf,3
mandler,turnip kangaroo,1
derrida,snow capped peaches,5
churchland,poinsettia salad,3
dennett,coconut snowman,3
jackendoff,soup on a stick,5
derrida,turnip kangaroo,2
miller,butter mint sauce,3
pylyshyn,sauerkraut surprise cake,4
halle,butter mint sauce,5
searle,eddie the eggplant,1
lakoff,chicken that is special,1
edelman,chilled spiced chicken,2
dennett,spiral staircase (gin and onion dip),4
fodor,tuna-berry sandwich,5
halle,mr. america cashew loaf,5
lerdahl,esoteric kippers,5
simon,banana and shrimp curry,5
chomsky,deviled onions,2
chomsky,cottage cheese-pickle-peanut sandwich,2
jackendoff,spaghetti mit currywurst,2
fodor,cottage cheese-pickle-peanut sandwich,4
halle,mr. america cashew loaf,2
simon,chopped liver igloo,4
montague,beef fudge,4
minsky,cabbage christmas tree,2
lakoff,cabbage christmas tree,2
lakoff,cold spaghetti creams,3
mccarthy,cold spaghetti creams,1
edelman,meat pies with ketchup meringue,5
mccarthy,cheesy onions,2
simon,barbecue bean mold,1
derrida,"tomato, cheese, & bran drink",2
searle,cream of chicken glace,4
fodor,sauerkraut surprise cake,1
searle,deviled onions,4
edelman,creamed onions with peanuts,1
jackendoff,cabbage christmas tree,4
montague,cream of chicken glace,3
lerdahl,snow capped peaches,5
simon,spiral staircase (gin and onion dip),2
chomsky,beans on toast on grapefruit,2
dennett,cheesy onions,1
halle,hot dogs in fruited brandy sauce,4
simon,tuna-berry sandwich,5
pylyshyn,banana salmon salad,2
halle,onion ring cat,3
edelman,meat pies with ketchup meringue,3
lerdahl,cream of chicken glace,4
fodor,banana salmon salad,5
pylyshyn,deviled onions,1
mandler,cottage cheese-pickle-peanut sandwich,4
lakoff,eddie the eggplant,1
jackendoff,creamed onions with peanuts,3
edelman,mr. america cashew loaf,5
mccarthy,cold spaghetti creams,1
miller,sauerkraut surprise cake,5
mandler,coconut snowman,2
einstein,eggs a l'orange,4
lerdahl,spaghetti mit currywurst,5
pylyshyn,deviled onions,3
simon,soup on a stick,4
miller,creamed onions with peanuts,1
miller,veal-fruit salad,1
minsky,sauerkraut surprise cake,3
halle,poinsettia salad,3
mccarthy,meat pies with ketchup meringue,2
churchland,fried alligator,5
lakoff,eddie the eggplant,2
derrida,barbecue bean mold,1
simon,deviled onions,4
miller,sauerkraut surprise cake,1
chomsky,poinsettia salad,3
lerdahl,cabbage christmas tree,2
churchland,banana doolittle,3
simon,banana and shrimp curry,3
edelman,eddie the eggplant,1
miller,butter mint sauce,3
derrida,donut prune salad,4
halle,cheesy onions,3
pylyshyn,apricot baskets,3
mccarthy,alphabet pie,4
edelman,alphabet pie,2
jackendoff,hot dogs in fruited brandy sauce,5
mandler,meat pies with ketchup meringue,1
lerdahl,alphabet pie,1
derrida,escargots a la microwave,2
minsky,carrot and broccoli towers,2
pylyshyn,fried alligator,4
searle,nut turkey,4
edelman,hot pear appetizer,4
jackendoff,butter mint sauce,3
simon,cottage cheese and kidney bean salad,3
edelman,chopped liver igloo,3
montague,meat pies with ketchup meringue,4
mandler,nut turkey,4
fodor,spaghetti mit currywurst,1
simon,cauliflower loaf,5
mandler,cheesy onions,3
miller,eddie the eggplant,3
jackendoff,veal-fruit salad,4
